Date,Open,High,Low,Close,Adj Close,Volume
2019-08-09,28.270000,28.520000,27.969999,28.330000,27.991680,53499600
2019-08-12,27.830000,27.850000,27.459999,27.639999,27.309919,52995900
2019-08-13,27.570000,28.250000,27.379999,27.719999,27.388964,69919200
2019-08-14,26.940001,27.080000,26.280001,26.420000,26.104490,106591700
2019-08-15,26.580000,26.830000,26.209999,26.250000,25.936518,70192000
2019-08-16,26.530001,27.120001,26.440001,27.030001,26.707207,70841700
